GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Examen1,cr.go.ucr.examen1,ComisionVenta,10,112,2,10,3,13,3,8,1,4
Examen1,cr.go.ucr.examen1,Rango,0,33,0,0,0,14,0,7,0,7
